date,Iprec
131219870100,0
131219871300,0
141219870100,0
141219871300,0
151219870100,0
151219871300,0
161219870100,0
161219871300,0.26667
171219870100,0.66667
171219871300,0
181219870100,0.53333
181219871300,0.88333
191219870100,0.28333
191219871300,1.88333
201219870100,0.975
201219871300,1.80833
211219870100,1.35
211219871300,0.24167
221219870100,0
221219871300,0
231219870100,0
231219871300,0
241219870100,0
241219871300,0
251219870100,0
251219871300,0
261219870100,0
261219871300,0
271219870100,0
271219871300,0
281219870100,0
281219871300,0
291219870100,0
291219871300,0
301219870100,0
301219871300,0
311219870100,0
311219871300,0
10119880100,0
10119881300,0
20119880100,0
20119881300,0
30119880100,0
30119881300,0
40119880100,0
40119881300,0
50119880100,0
50119881300,0
60119880100,0
60119881300,0
70119880100,0.43333
70119881300,0.99167
80119880100,0.25
80119881300,0.48333
90119880100,0.04167
90119881300,0
100119880100,0
100119881300,0
110119880100,0
110119881300,1.10833
120119880100,0.475
120119881300,0
130119880100,0
130119881300,0
140119880100,0
140119881300,0
150119880100,0
150119881300,0.04167
160119880100,0
160119881300,0
170119880100,0
170119881300,0
180119880100,0
180119881300,0
190119880100,0
190119881300,0
200119880100,0
200119881300,0
210119880100,0.05
210119881300,0.71667
220119880100,0.39167
220119881300,0.04167
230119880100,0.675
230119881300,0.1
240119880100,0.15833
240119881300,0.29167
250119880100,0
250119881300,0
260119880100,0.775
260119881300,0.01667
270119880100,0
270119881300,0
280119880100,0
280119881300,0
290119880100,0
290119881300,0.56667
300119880100,1.35
300119881300,0.65833
310119880100,0.88333
310119881300,0.45
10219880100,0.09167
10219881300,0
20219880100,0.2
20219881300,0.79167
30219880100,0
30219881300,0
40219880100,0
40219881300,0
50219880100,0
50219881300,0
60219880100,0
60219881300,0.09167
70219880100,0.34167
70219881300,1.2
80219880100,0.93333
80219881300,0.80833
90219880100,0.60833
90219881300,0.03333
100219880100,0.725
100219881300,0.15
110219880100,0.13333
110219881300,0.1
120219880100,0.21667
120219881300,0.34167
130219880100,0.80833
130219881300,0.23333
140219880100,0
140219881300,0
150219880100,0
150219881300,0
160219880100,0
160219881300,0
170219880100,0
170219881300,0
180219880100,0
180219881300,0
190219880100,0.18333
190219881300,1.35833
200219880100,1.01667
200219881300,0.86667
210219880100,0.275
210219881300,0
220219880100,0
220219881300,0
230219880100,0
230219881300,0
240219880100,1.05
240219881300,0.59167
250219880100,0.34167
250219881300,0.25833
260219880100,0.15833
260219881300,0.18333
270219880100,0.44167
270219881300,0.425
280219880100,0.225
280219881300,0.225
290219880100,0.39167
290219881300,0.13333
10319880100,0.23333
10319881300,0.9
20319880100,0.48333
20319881300,0.44167
30319880100,0.49167
30319881300,0
40319880100,0
40319881300,0
50319880100,0
50319881300,0.19167
60319880100,0.61667
60319881300,0
70319880100,0.25833
70319881300,0.36667
80319880100,0.25
80319881300,0.7
90319880100,0.18333
90319881300,0.13333
100319880100,0.03333
100319881300,0
110319880100,0.34167
110319881300,0.9
120319880100,0.48333
120319881300,0.75833
130319880100,0.78333
130319881300,0.38333
140319880100,0
140319881300,0
150319880100,0.53333
150319881300,0
160319880100,0
160319881300,0.35
170319880100,0.35
170319881300,0.7
180319880100,0.525
180319881300,0.5
190319880100,0.3
190319881300,0
200319880100,0.99167
200319881300,0.06667
210319880100,0
210319881300,0.425
220319880100,0.23333
220319881300,1.05833
230319880100,1.21667
230319881300,0.15833
240319880100,0.38333
240319881300,0.09167
250319880100,1.13333
250319881300,0.59167
260319880100,1.475
260319881300,0.91667
270319880100,0.20833
270319881300,0.29167
280319880100,0.64167
280319881300,0.98333
290319880100,0.41667
290319881300,0
300319880100,0
300319881300,0
310319880100,0.85833
310319881300,0.33333
10419880100,0.11667
10419881300,0.10833
20419880100,0.10833
20419881300,0.05
30419880100,0.04167
30419881300,0
40419880100,0
40419881300,0
50419880100,0
50419881300,0
60419880100,0
60419881300,0
70419880100,0.06667
70419881300,0.23333
80419880100,0
80419881300,0.15833
90419880100,0.16667
90419881300,0.05
100419880100,0.28333
100419881300,0
110419880100,0
110419881300,0
120419880100,0
120419881300,0
130419880100,0.2
130419881300,0.825
140419880100,0.91667
140419881300,0
150419880100,0
150419881300,0
160419880100,0
160419881300,0
170419880100,0
170419881300,0
180419880100,0
180419881300,0.03333
190419880100,0
190419881300,0
200419880100,0
200419881300,0.05
210419880100,0.74167
210419881300,0.075
220419880100,0
220419881300,0
230419880100,0
230419881300,0
240419880100,0
240419881300,0
250419880100,0
250419881300,0
260419880100,0
260419881300,0.18333
270419880100,0.025
270419881300,0
280419880100,0
280419881300,0.06667
290419880100,0.13333
290419881300,0.1
300419880100,0
300419881300,0
10519880100,0
10519881300,0
20519880100,0
20519881300,0
30519880100,0
30519881300,0.46667
40519880100,0.125
40519881300,0
50519880100,0.15833
50519881300,0
60519880100,0
60519881300,0
70519880100,0
70519881300,0
80519880100,0
80519881300,0
90519880100,0
90519881300,0
100519880100,0.25833
100519881300,0
110519880100,0.06667
110519881300,0
120519880100,0
120519881300,0
130519880100,0
130519881300,0
140519880100,0
140519881300,0
150519880100,0.03333
150519881300,0
160519880100,0
160519881300,0.18333
170519880100,0.36667
170519881300,0
180519880100,0.15
180519881300,0.58333
190519880100,0
190519881300,0.11667
200519880100,0.1
200519881300,0.61667
210519880100,0.50833
210519881300,0.11667
220519880100,0.03333
220519881300,0
230519880100,0
230519881300,0
240519880100,0
240519881300,0
250519880100,0
250519881300,0
260519880100,0
260519881300,0
270519880100,0
270519881300,0
280519880100,0
280519881300,0
290519880100,0
290519881300,0
300519880100,0.50833
300519881300,0.21667
310519880100,0.08333
310519881300,0.13333
10619880100,1.375
10619881300,0.24167
20619880100,1.325
20619881300,0.54167
30619880100,0.04167
30619881300,0
40619880100,0
40619881300,0
50619880100,0.825
50619881300,0.60833
60619880100,1.025
60619881300,0.18333
70619880100,0.09167
70619881300,0.36667
80619880100,0
80619881300,0
90619880100,0
90619881300,0
100619880100,0
100619881300,0
110619880100,0.35833
110619881300,0
120619880100,0.81667
120619881300,0.15
130619880100,0.09167
130619881300,0.08333
140619880100,0
140619881300,0
150619880100,0.74167
150619881300,0
160619880100,0.1
160619881300,0
170619880100,0
170619881300,0.09167
180619880100,0
180619881300,0.18333
190619880100,0.14167
190619881300,0.075
200619880100,0.21667
200619881300,0.00833
210619880100,0
210619881300,0.025
220619880100,0.74167
220619881300,0
230619880100,0.05
230619881300,0.05
240619880100,0
240619881300,0
250619880100,0
250619881300,0
260619880100,0.1
260619881300,0.56667
270619880100,0
270619881300,0.1
280619880100,0.04167
280619881300,0.28333
290619880100,0
290619881300,0.23333
300619880100,0
300619881300,0
10719880100,0
10719881300,0
20719880100,0.25833
20719881300,0.4
30719880100,0.13333
30719881300,0.26667
40719880100,0
40719881300,0.25
50719880100,0
50719881300,0
60719880100,0
60719881300,0
70719880100,0
70719881300,0.00833
80719880100,0.075
80719881300,0.125
90719880100,0.58333
90719881300,0.05833
100719880100,0.11667
100719881300,0
110719880100,0
110719881300,0
120719880100,2.44167
120719881300,0.23333
130719880100,0
130719881300,0
